what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106154484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106577500
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223106577515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106578765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106761171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106765046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106770218
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1223106770234
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.TerminateAndRelaunch,1223106774046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106775593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106776984
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1223106777453
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1223106778578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106784218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106839078
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1223106839093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223106840437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107302703
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1223107304375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107305218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107311609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107312734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107313812
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1223107314156
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1223107315828
