what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1223116975562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223116979140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223116989500
failed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations,1223116989515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223116990296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117000828
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1223117000843
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223117001546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117012765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117030312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117032437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117033609
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1223117033828
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1223117045218
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1223117046390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117048468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117083046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117085953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117086843
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1223117087062
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223117098781
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1223117102093
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1223117103343
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223117114421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223117124796
