what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor,1223107811375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107813046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107824296
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1223107825343
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1223107826937
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1223107829062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107829218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107829234
closed,editor,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor,1223107829468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107830312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107830421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107836406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107837546
activated,editor,org.eclipse.cdt.ui,5.0.1.200809120802,org.eclipse.cdt.ui.editor.CEditor,1223107837781
executed,command,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar,1223107838703
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107842015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1223107994437
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.MemoryView,1223107999500
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.RegisterView,1223107999546
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.ModuleView,1223107999578
opened,editor,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor,1223107999687
activated,editor,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor,1223107999718
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223108001343
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1223108012468
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1223108016078
